Time,EMG,Force
0.758,-0.002969,12.518337
0.759,-0.005867,12.518337
0.76,-0.008604,12.574824
0.761,-0.011181,12.292389
0.762,-0.013274,11.981711
0.763,-0.015367,11.896981
0.764,-0.017138,12.122929
0.765,-0.019875,12.179416
0.766,-0.024383,12.405363
0.767,-0.030502,12.405363
0.768,-0.038069,12.546581
0.769,-0.046442,12.46185
0.77,-0.054975,12.151172
0.771,-0.06367,12.066442
0.772,-0.070915,12.264146
0.773,-0.076873,12.348876
0.774,-0.073974,12.405363
0.775,-0.070915,12.348876
0.776,-0.07011,12.292389
0.777,-0.05578,12.038198
0.778,-0.042094,12.235903
0.779,-0.028892,12.264146
0.78,-0.014884,12.264146
0.781,-0.00152,12.264146
0.782,0.011683,12.46185
0.783,0.024886,12.179416
0.784,0.037283,12.179416
0.785,0.048071,12.207659
0.786,0.056282,12.235903
0.787,0.06063,12.009955
0.788,0.06224,12.094685
0.789,0.061113,12.122929
0.79,0.058537,12.122929
0.791,0.054994,11.812251
0.792,0.051774,11.473329
0.793,0.048876,11.586303
0.794,0.0463,12.151172
0.795,0.043563,12.37712
0.796,0.040986,12.405363
0.797,0.039215,12.122929
0.798,0.0368,12.122929
0.799,0.033741,12.179416
0.8,0.031326,12.405363
0.801,0.028267,12.235903
0.802,0.025208,12.066442
0.803,0.021182,11.868738
0.804,0.01764,11.925225
0.805,0.013293,11.868738
0.806,0.007335,11.981711
0.807,0.000251,11.784007
0.808,-0.005545,11.925225
0.809,-0.009893,12.151172
0.81,-0.01263,12.235903
0.811,-0.015367,12.009955
0.812,-0.018909,12.122929
0.813,-0.021163,11.953468
0.814,-0.02696,11.868738
0.815,-0.02551,11.925225
0.816,-0.028892,11.868738
0.817,-0.029858,11.953468
0.818,-0.028409,12.094685
0.819,-0.027765,11.953468
0.82,-0.025833,12.151172
0.821,-0.023739,11.868738
0.822,-0.020519,11.925225
0.823,-0.01746,11.755764
0.824,-0.012952,11.896981
0.825,-0.008443,11.953468
0.826,-0.003452,12.066442
0.827,0.001217,11.953468
0.828,0.005725,12.038198
0.829,0.008624,12.518337
0.83,0.00959,12.066442
0.831,0.009912,11.925225
0.832,0.009429,11.953468
0.833,0.008624,11.755764
0.834,0.007174,11.671033
0.835,0.005886,11.699277
0.836,0.00492,12.009955
0.837,0.004759,12.235903
0.838,0.004437,12.348876
0.839,0.00492,12.518337
0.84,0.00492,12.490094
0.841,0.004115,12.292389
0.842,0.002666,12.348876
0.843,0.001056,12.264146
0.844,-0.001198,11.953468
0.845,-0.004257,11.784007
0.846,-0.008121,12.009955
0.847,-0.014079,12.122929
0.848,-0.023095,12.122929
0.849,-0.034527,12.46185
0.85,-0.048857,12.46185
0.851,-0.065119,12.348876
0.852,-0.079932,12.292389
0.853,-0.092007,11.840494
0.854,-0.099897,12.009955
0.855,-0.101829,12.320633
0.856,-0.098609,12.320633
0.857,-0.101668,12.009955
0.858,-0.086211,12.009955
0.859,-0.068983,12.151172
0.86,-0.049501,12.179416
0.861,-0.029214,12.038198
0.862,-0.011986,12.207659
0.863,0.001861,12.207659
0.864,0.013776,12.038198
0.865,0.021826,12.066442
0.866,0.026818,11.981711
0.867,0.029233,11.925225
0.868,0.029877,11.586303
0.869,0.030199,11.64279
0.87,0.030682,11.72752
0.871,0.032453,12.151172
0.872,0.036639,12.320633
0.873,0.042436,11.953468
0.874,0.049198,11.896981
0.875,0.054189,11.953468
0.876,0.056926,12.094685
0.877,0.055638,12.094685
0.878,0.053223,12.122929
0.879,0.051613,12.122929
0.88,0.050969,12.235903
0.881,0.05113,12.264146
0.882,0.051613,12.009955
0.883,0.052257,12.207659
0.884,0.052579,12.094685
0.885,0.05274,11.981711
0.886,0.051613,11.840494
0.887,0.049681,11.868738
0.888,0.046622,11.755764
0.889,0.043563,11.755764
0.89,0.041309,11.868738
